step,T,C,coolant_flow,feed_rate
396,5335162.863500387,0.03646068249809811,0.2,0.8
397,5348127.864639734,0.03646067680136192,0.2,0.8
398,5361092.865773569,0.036460671132188094,0.2,0.8
399,5374057.866901931,0.03646066549037712,0.2,0.8
400,5387022.8680248605,0.03646065987573133,0.2,0.8
401,5399987.869142396,0.03646065428805501,0.2,0.8
402,5412952.870254576,0.03646064872715432,0.2,0.8
403,5425917.871361439,0.03646064319283725,0.2,0.8
404,5438882.872463023,0.03646063768491363,0.2,0.8
405,5451847.873559368,0.03646063220319509,0.2,0.8
406,5464812.874650508,0.03646062674749509,0.2,0.8
407,5477777.8757364815,0.03646062131762881,0.2,0.8
408,5490742.876817325,0.03646061591341319,0.2,0.8
409,5503707.877893074,0.0364606105346669,0.2,0.8
410,5516672.878963766,0.03646060518121032,0.2,0.8
411,5529637.880029434,0.03646059985286549,0.2,0.8
412,5542602.881090116,0.03646059454945615,0.2,0.8
413,5555567.882145845,0.03646058927080767,0.2,0.8
414,5568532.883196657,0.03646058401674704,0.2,0.8
415,5581497.884242586,0.03646057878710287,0.2,0.8
416,5594462.885283665,0.03646057358170535,0.2,0.8
417,5607427.886319929,0.03646056840038624,0.2,0.8
418,5620392.88735141,0.03646056324297886,0.2,0.8
419,5633357.888378142,0.03646055810931808,0.2,0.8
420,5646322.889400158,0.03646055299924024,0.2,0.8
421,5659287.890417489,0.03646054791258324,0.2,0.8
422,5672252.891430168,0.03646054284918641,0.2,0.8
423,5685217.892438227,0.03646053780889058,0.2,0.8
424,5698182.893441698,0.036460532791538006,0.2,0.8
425,5711147.894440611,0.0364605277969724,0.2,0.8
426,5724112.895434998,0.03646052282503888,0.2,0.8
427,5737077.896424889,0.03646051787558395,0.2,0.8
428,5750042.897410314,0.03646051294845553,0.2,0.8
429,5763007.898391304,0.03646050804350287,0.2,0.8
430,5775972.899367888,0.03646050316057661,0.2,0.8
431,5788937.900340098,0.036460498299528715,0.2,0.8
432,5801902.901307961,0.03646049346021246,0.2,0.8
433,5814867.902271507,0.036460488642482455,0.2,0.8
434,5827832.903230765,0.036460483846194575,0.2,0.8
435,5840797.904185763,0.036460479071205996,0.2,0.8
436,5853762.905136529,0.03646047431737516,0.2,0.8
437,5866727.906083092,0.03646046958456175,0.2,0.8
438,5879692.907025479,0.03646046487262669,0.2,0.8
439,5892657.907963717,0.03646046018143213,0.2,0.8
440,5905622.908897836,0.03646045551084144,0.2,0.8
441,5918587.90982786,0.03646045086071916,0.2,0.8
442,5931552.910753818,0.036460446230931046,0.2,0.8
443,5944517.911675735,0.036460441621344014,0.2,0.8
444,5957482.912593639,0.03646043703182612,0.2,0.8
445,5970447.913507556,0.03646043246224662,0.2,0.8
446,5983412.91441751,0.03646042791247582,0.2,0.8
447,5996377.9153235275,0.036460423382385226,0.2,0.8
448,6009342.9162256345,0.03646041887184742,0.2,0.8
449,6022307.917123857,0.03646041438073608,0.2,0.8
450,6035272.918018219,0.036460409908925975,0.2,0.8
451,6048237.918908746,0.036460405456292935,0.2,0.8
452,6061202.919795462,0.036460401022713876,0.2,0.8
453,6074167.920678392,0.03646039660806676,0.2,0.8
454,6087132.92155756,0.036460392212230575,0.2,0.8
455,6100097.922432989,0.036460387835085345,0.2,0.8
456,6113062.923304704,0.03646038347651211,0.2,0.8
457,6126027.924172728,0.036460379136392926,0.2,0.8
458,6138992.925037085,0.03646037481461084,0.2,0.8
459,6151957.925897798,0.036460370511049875,0.2,0.8
460,6164922.926754888,0.03646036622559505,0.2,0.8
461,6177887.927608381,0.03646036195813235,0.2,0.8
462,6190852.928458298,0.03646035770854868,0.2,0.8
463,6203817.929304661,0.03646035347673193,0.2,0.8
464,6216782.930147493,0.03646034926257091,0.2,0.8
465,6229747.930986817,0.03646034506595536,0.2,0.8
466,6242712.931822653,0.036460340886775924,0.2,0.8
467,6255677.932655023,0.03646033672492416,0.2,0.8
468,6268642.93348395,0.036460332580292534,0.2,0.8
469,6281607.934309454,0.0364603284527744,0.2,0.8
470,6294572.935131555,0.03646032434226396,0.2,0.8
471,6307537.935950277,0.03646032024865632,0.2,0.8
472,6320502.936765639,0.036460316171847446,0.2,0.8
473,6333467.937577662,0.03646031211173412,0.2,0.8
474,6346432.938386366,0.03646030806821401,0.2,0.8
475,6359397.939191772,0.036460304041185596,0.2,0.8
476,6372362.939993899,0.03646030003054819,0.2,0.8
477,6385327.940792768,0.036460296036201933,0.2,0.8
478,6398292.941588399,0.03646029205804775,0.2,0.8
479,6411257.942380811,0.03646028809598739,0.2,0.8
480,6424222.943170024,0.03646028414992339,0.2,0.8
481,6437187.943956058,0.036460280219759056,0.2,0.8
482,6450152.94473893,0.0364602763053985,0.2,0.8
483,6463117.94551866,0.03646027240674658,0.2,0.8
484,6476082.946295268,0.03646026852370894,0.2,0.8
485,6489047.947068771,0.03646026465619195,0.2,0.8
486,6502012.947839188,0.036460260804102744,0.2,0.8
487,6514977.948606539,0.03646025696734918,0.2,0.8
488,6527942.949370841,0.036460253145839894,0.2,0.8
489,6540907.950132111,0.03646024933948418,0.2,0.8
490,6553872.95089037,0.03646024554819209,0.2,0.8
491,6566837.951645633,0.0364602417718744,0.2,0.8
492,6579802.952397919,0.03646023801044254,0.2,0.8
493,6592767.9531472465,0.03646023426380868,0.2,0.8
494,6605732.953893631,0.03646023053188567,0.2,0.8
495,6618697.954637091,0.03646022681458702,0.2,0.8
496,6631662.955377643,0.03646022311182695,0.2,0.8
497,6644627.956115304,0.03646021942352034,0.2,0.8
498,6657592.956850091,0.03646021574958271,0.2,0.8
499,6670557.957582021,0.03646021208993026,0.2,0.8
500,6683522.958311112,0.036460208444479864,0.2,0.8
501,6696487.9590373775,0.03646020481314896,0.2,0.8
502,6709452.959760836,0.03646020119585572,0.2,0.8
503,6722417.960481503,0.03646019759251887,0.2,0.8
504,6735382.961199394,0.03646019400305782,0.2,0.8
505,6748347.961914528,0.036460190427392555,0.2,0.8
506,6761312.962626918,0.03646018686544371,0.2,0.8
507,6774277.96333658,0.036460183317132494,0.2,0.8
508,6787242.964043531,0.03646017978238075,0.2,0.8
509,6800207.964747785,0.036460176261110894,0.2,0.8
